@id,@lon,@lat,@user,name,name:en,website,operator,brand,opening_hours,wheelchair,wheelchair:description,email,phone,fax,addr:country,addr:city,addr:street,addr:housenumber,addr:postcode,internet_access:fee,stars,rooms,smoking,outdoor_seating,pets_allowed,swimming_pool,network,payment:cash,payment:mastercard,payment:visa,payment:american_express,payment:diners_club,payment:maestro,building
1E+15,21.4156286,41.9858984,-WI-,Вила Водно,Vila Vodno,,,,,,,,,,MK,Cкoпje,Периша Савелиќ,8,1000,No Info Available,,,,,,,,,,,,,,yes
1E+15,21.4194063,41.9835314,borces,Панорама Резиденс,,,,,,,,,,,,Skopje,Тодор Александров,,,,,,,,,,,,,,,,,
1E+15,21.4226094,41.9953523,Corban8,Лаки,Laki,,,,,,,,,,MK,Cкoпje,Аминта Трети,79,1000,No Info Available,,,,,,,,,,,,,,yes
1E+15,21.4304826,41.9961031,MatejMecka,Хотел Мериот Скопје,Marriott Skopje,,Marriott,Marriott,,,,,+389 2 510 2510,+389 2 510 2513,MK,Cкoпje,,,1000,Customers,5,164,,,yes,indoor,,,,,,,,hotel
1E+15,21.4185347,41.9856193,TheBlackMan,Вила Рагуза,Vila Raguza,,,,,,,,,,MK,Cкoпje,Тодор Александров,13a,1000,No Info Available,,,,,,,,,,,,,,yes
1E+15,21.4202964,41.9835098,Corban8,Panoramika Design Hotel,,,,,,,,,,,MK,Cкoпje,,,1000,No Info Available,,,,,,,,,,,,,,yes
1E+15,21.4391786,41.9966358,TheBlackMan,Opera House Hotel Skopje,,http://operahousehotel.mk,,,,,,info@operahousehotel.mk,+389 (0)2 3 22 50 07,,MK,Cкoпje,1733  24,1737,1000,No,4,,,,,,,,,,,,,hotel
1E+15,21.4396919,41.9968066,toygarlk,Luxury Skopje Apartments,,http://luxuryskopjeapartments.com/,otel,,,,,info@Lsarent.com,+389 (0)71 38 68 11,,MK,Cкoпje,Пајко Маало,6,1000,No,,,,,,,,,,,,,,apartments
1E+15,21.4295089,41.9955022,TheBlackMan,Solun,,,,,,,,,,,MK,Cкoпje,,,1000,No Info Available,,,,,,,,,,,,,,hotel
1E+15,21.420412,41.98537,Toyota_79,Hotel Europe,,,,,,,,,,,,Skopje,,,,No Info Available,,,,,,,,,,,,,,commercial
1E+15,21.4371703,41.9902618,mariegorman,Премиер,Premier,,,,,,,,,,,Skopje,Јосиф Јосифовски Свештарот,36,,No Info Available,,,,,,,,,,,,,,yes
1E+15,21.4268082,41.9839098,TheBlackMan,Вила Силија,Vila Silija,,,,,,,,,,,Skopje,,,,No Info Available,,,,,,,,,,,,,,hotel
1E+15,21.4261639,41.9835503,TheBlackMan,Hi Skopje Hostel,,,,,,,,,,,MK,Cкoпje,Рилски Конгрес,26,1000,No Info Available,,,,,,,,,,,,,,yes
1E+15,21.4259318,41.9859181,TheBlackMan,Хотел Леонардо,,http://www.hotel-leonardo.com.mk/,,,,,,info@hotel-leonardo.com.mk,+389 2 3177517,,MK,Cкoпje,Партенија Зографски,19,1000,No,3,,,,,,,,,,,,,hotel
1E+15,21.4176535,41.9985469,Toyota_79,Glam,,,,,,,,,,,MK,Cкoпje,,,1000,No Info Available,,,,,,,,,,,,,,hotel
1E+15,21.4492737,41.9973856,_Poliwrath_,VIP,,,,,,,,,,,,Skopje,,,,No Info Available,,,,,,,,,,,,,,yes
1E+15,21.4445839,41.9941814,Václav Fanta,Apart Hotel Kalonis,,,,,,,,,,,,Cкoпje,Велешка,,1000,Yes,3,,,,,,,,,,,,,yes
1E+15,21.4297123,41.9970513,SilverStorm03,Ibis Skopje City Center,,https://www.accorhotels.com/nl/hotel-9672-ibis-skopje-city-center/index.shtml,Accor Group,,,,,H9672@accor.com,38923123700,,MK,Cкoпje,Васил Иљоски,55,1000,No Info Available,,,,,,,,,,,,,,house
1E+15,21.4294537,41.991871,Makedonium,Хотел Бристол,Hotel Bristol,,,,,,,,,,,Скопје,Македонија,1,1000,No Info Available,,,,,,,,,,,,,,yes
